지역,연도,평균가격
충북,2009,128.2
충남,2009,142.7
전북,2009,120.7
전남,2009,101.4
경북,2009,118.8
경남,2009,160.0
제주,2009,157.8
서울,2009,655.7
도심권,2009,697.2
동북권,2009,482.9
동남권,2009,929.0
서북권,2009,519.9
서남권,2009,554.8
부산,2009,182.1
대구,2009,174.7
인천,2009,288.7
광주,2009,130.9
대전,2009,182.1
울산,2009,180.1
경기,2009,346.4
강원,2009,116.7
충북,2009,128.4
충남,2009,148.1
전북,2009,121.4
전남,2009,101.0
경북,2009,116.5
경남,2009,156.7
제주,2009,148.7
서울,2009,635.9
도심권,2009,705.9
동북권,2009,483.2
동남권,2009,895.3
서북권,2009,541.0
서남권,2009,550.5
부산,2009,188.9
대구,2009,173.4
인천,2009,289.2
광주,2009,133.7
대전,2009,182.8
울산,2009,182.1
경기,2009,342.5
강원,2009,114.1
충북,2009,132.2
충남,2009,148.0
전북,2009,124.4
전남,2009,104.1
경북,2009,118.3
경남,2009,160.2
제주,2009,154.4
서울,2009,650.0
도심권,2009,732.9
동북권,2009,497.0
동남권,2009,918.3
서북권,2009,540.2
서남권,2009,560.7
부산,2009,193.5
대구,2009,176.5
인천,2009,290.9
광주,2009,130.2
대전,2009,186.5
울산,2009,189.4
경기,2009,349.1
강원,2009,122.9
충북,2009,134.9
충남,2009,150.4
전북,2009,125.7
전남,2009,104.6
경북,2009,123.0
경남,2009,165.4
제주,2009,155.5
서울,2009,614.5
도심권,2009,752.7
동북권,2009,497.2
동남권,2009,879.2
서북권,2009,520.5
서남권,2009,536.4
부산,2009,191.8
대구,2009,176.7
인천,2009,292.1
광주,2009,131.3
대전,2009,184.6
울산,2009,185.5
경기,2009,332.0
강원,2009,121.6
충북,2009,133.7
충남,2009,146.9
전북,2009,129.2
전남,2009,107.9
경북,2009,124.1
경남,2009,164.4
제주,2009,149.3
서울,2009,588.7
도심권,2009,699.9
동북권,2009,485.5
동남권,2009,846.2
서북권,2009,528.9
서남권,2009,510.2
부산,2009,191.1
대구,2009,175.9
인천,2009,283.4
광주,2009,130.3
대전,2009,186.4
울산,2009,183.1
경기,2009,318.1
강원,2009,122.1
충북,2009,131.7
충남,2009,148.1
전북,2009,130.2
전남,2009,109.4
경북,2009,123.6
경남,2009,161.0
제주,2009,154.4
서울,2009,607.2
도심권,2009,703.3
동북권,2009,484.8
동남권,2009,869.0
서북권,2009,515.7
서남권,2009,527.8
부산,2009,193.7
대구,2009,174.7
인천,2009,279.4
광주,2009,131.3
대전,2009,187.8
울산,2009,187.3
경기,2009,316.1
강원,2009,119.5
충북,2009,136.7
충남,2009,147.2
전북,2009,132.2
전남,2009,111.6
경북,2009,123.9
경남,2009,164.8
제주,2009,160.2
서울,2009,658.9
도심권,2009,773.4
동북권,2009,483.2
동남권,2009,934.8
서북권,2009,505.1
서남권,2009,549.6
부산,2009,195.4
대구,2009,175.9
인천,2009,279.4
광주,2009,133.6
대전,2009,194.0
울산,2009,184.7
경기,2009,324.0
강원,2009,121.1
충북,2009,133.5
충남,2009,152.3
전북,2009,131.3
전남,2009,108.2
경북,2009,123.2
경남,2009,165.9
제주,2009,150.4
서울,2010,681.5
도심권,2010,747.9
동북권,2010,493.2
동남권,2010,966.8
서북권,2010,520.9
서남권,2010,562.3
부산,2010,202.6
대구,2010,175.8
인천,2010,288.1
광주,2010,135.7
대전,2010,198.3
울산,2010,191.4
경기,2010,341.2
강원,2010,127.3
충북,2010,142.6
충남,2010,153.0
전북,2010,135.9
전남,2010,114.5
경북,2010,123.8
경남,2010,173.9
제주,2010,158.8
서울,2010,619.0
도심권,2010,730.9
동북권,2010,491.7
동남권,2010,877.5
서북권,2010,493.1
서남권,2010,532.3
부산,2010,202.8
대구,2010,170.4
인천,2010,286.7
광주,2010,135.5
대전,2010,193.5
울산,2010,191.1
경기,2010,322.0
강원,2010,123.6
충북,2010,135.6
충남,2010,150.6
전북,2010,138.8
전남,2010,113.7
경북,2010,121.4
경남,2010,170.0
제주,2010,144.2
서울,2010,586.2
도심권,2010,716.0
동북권,2010,479.2
동남권,2010,839.3
서북권,2010,495.1
서남권,2010,507.0
부산,2010,198.4
대구,2010,170.7
인천,2010,279.1
광주,2010,133.8
대전,2010,189.5
울산,2010,190.7
경기,2010,308.2
강원,2010,121.4
충북,2010,133.8
충남,2010,148.3
전북,2010,136.2
전남,2010,111.0
경북,2010,119.0
경남,2010,170.5
제주,2010,154.9
서울,2010,566.7
도심권,2010,675.3
동북권,2010,458.7
동남권,2010,851.9
서북권,2010,483.3
서남권,2010,490.2
부산,2010,198.6
대구,2010,168.2
인천,2010,272.6
광주,2010,132.4
대전,2010,189.1
울산,2010,183.8
경기,2010,300.4
강원,2010,119.9
충북,2010,134.3
충남,2010,148.6
전북,2010,136.2
전남,2010,110.9
경북,2010,118.0
경남,2010,168.0
제주,2010,160.2
서울,2010,588.3
도심권,2010,671.4
동북권,2010,450.4
동남권,2010,872.0
서북권,2010,481.0
서남권,2010,508.0
부산,2010,199.1
대구,2010,169.5
인천,2010,275.2
광주,2010,133.8
대전,2010,190.5
울산,2010,188.5
경기,2010,303.8
강원,2010,121.4
충북,2010,138.6
충남,2010,155.5
전북,2010,139.6
전남,2010,113.6
경북,2010,117.6
경남,2010,171.7
제주,2010,148.7
서울,2010,598.4
도심권,2010,722.5
동북권,2010,455.2
동남권,2010,875.8
서북권,2010,491.1
서남권,2010,509.8
부산,2010,200.9
대구,2010,172.0
인천,2010,270.0
광주,2010,132.2
대전,2010,194.2
울산,2010,185.6
경기,2010,304.9
강원,2010,123.0
충북,2010,139.9
충남,2010,154.1
전북,2010,143.5
전남,2010,116.9
