지역,연도,평균가격
도,2009,346.5
도,2009,111.0
도,2009,124.8
도,2009,145.2
도,2009,118.8
도,2009,99.9
도,2009,113.7
도,2009,152.4
도,2009,134.1
전국,2009,261.2
수도권,2009,421.6
지방,2009,143.6
서울,2009,642.0
서울,2009,646.5
서울,2009,458.9
서울,2009,863.5
서울,2009,492.7
서울,2009,533.1
광역시,2009,171.5
광역시,2009,161.6
광역시,2009,278.9
광역시,2009,125.1
광역시,2009,167.8
광역시,2009,168.3
도,2009,331.0
도,2009,112.7
도,2009,124.5
도,2009,138.9
도,2009,114.5
도,2009,103.1
도,2009,112.6
도,2009,150.7
도,2009,150.1
전국,2009,302.4
수도권,2009,436.0
지방,2009,150.5
서울,2009,637.4
서울,2009,681.4
서울,2009,475.8
서울,2009,847.7
서울,2009,519.8
서울,2009,557.0
광역시,2009,177.6
광역시,2009,169.4
광역시,2009,281.0
광역시,2009,126.7
광역시,2009,179.0
광역시,2009,182.2
도,2009,352.6
도,2009,115.2
도,2009,122.9
도,2009,150.4
도,2009,118.4
도,2009,103.8
도,2009,114.6
도,2009,155.8
도,2009,141.4
전국,2009,284.0
수도권,2009,416.5
지방,2009,152.1
서울,2009,621.3
서울,2009,662.8
서울,2009,472.9
서울,2009,868.0
서울,2009,516.1
서울,2009,542.2
광역시,2009,179.0
광역시,2009,169.0
광역시,2009,281.7
광역시,2009,129.3
광역시,2009,180.1
광역시,2009,184.0
도,2009,335.4
도,2009,115.5
도,2009,128.2
도,2009,142.7
도,2009,120.7
도,2009,101.4
도,2009,118.8
도,2009,160.0
도,2009,157.8
전국,2009,311.8
수도권,2009,458.3
지방,2009,153.3
서울,2009,655.7
서울,2009,697.2
서울,2009,482.9
서울,2009,929.0
서울,2009,519.9
서울,2009,554.8
광역시,2009,182.1
광역시,2009,174.7
광역시,2009,288.7
광역시,2009,130.9
광역시,2009,182.1
광역시,2009,180.1
도,2009,346.4
도,2009,116.7
도,2009,128.4
도,2009,148.1
도,2009,121.4
도,2009,101.0
도,2009,116.5
도,2009,156.7
도,2009,148.7
전국,2009,296.7
수도권,2009,439.3
지방,2009,155.3
서울,2009,635.9
서울,2009,705.9
서울,2009,483.2
서울,2009,895.3
서울,2009,541.0
서울,2009,550.5
광역시,2009,188.9
광역시,2009,173.4
광역시,2009,289.2
광역시,2009,133.7
광역시,2009,182.8
광역시,2009,182.1
도,2009,342.5
도,2009,114.1
도,2009,132.2
도,2009,148.0
도,2009,124.4
도,2009,104.1
도,2009,118.3
도,2009,160.2
도,2009,154.4
전국,2009,308.6
수도권,2009,448.7
지방,2009,160.4
서울,2009,650.0
서울,2009,732.9
서울,2009,497.0
서울,2009,918.3
서울,2009,540.2
서울,2009,560.7
광역시,2009,193.5
광역시,2009,176.5
광역시,2009,290.9
광역시,2009,130.2
광역시,2009,186.5
광역시,2009,189.4
도,2009,349.1
도,2009,122.9
도,2009,134.9
도,2009,150.4
도,2009,125.7
도,2009,104.6
도,2009,123.0
도,2009,165.4
도,2009,155.5
전국,2009,273.6
수도권,2009,415.4
지방,2009,159.1
서울,2009,614.5
서울,2009,752.7
서울,2009,497.2
서울,2009,879.2
서울,2009,520.5
서울,2009,536.4
광역시,2009,191.8
광역시,2009,176.7
광역시,2009,292.1
광역시,2009,131.3
광역시,2009,184.6
광역시,2009,185.5
도,2009,332.0
도,2009,121.6
도,2009,133.7
도,2009,146.9
도,2009,129.2
도,2009,107.9
도,2009,124.1
도,2009,164.4
도,2009,149.3
전국,2009,235.7
수도권,2009,391.1
지방,2009,157.7
서울,2009,588.7
서울,2009,699.9
서울,2009,485.5
서울,2009,846.2
서울,2009,528.9
서울,2009,510.2
광역시,2009,191.1
광역시,2009,175.9
광역시,2009,283.4
광역시,2009,130.3
광역시,2009,186.4
광역시,2009,183.1
도,2009,318.1
도,2009,122.1
도,2009,131.7
도,2009,148.1
도,2009,130.2
도,2009,109.4
도,2009,123.6
도,2009,161.0
도,2009,154.4
전국,2009,231.8
수도권,2009,399.1
지방,2009,158.6
서울,2009,607.2
서울,2009,703.3
서울,2009,484.8
서울,2009,869.0
서울,2009,515.7
서울,2009,527.8
광역시,2009,193.7
광역시,2009,174.7
광역시,2009,279.4
광역시,2009,131.3
광역시,2009,187.8
광역시,2009,187.3
도,2009,316.1
도,2009,119.5
도,2009,136.7
도,2009,147.2
도,2009,132.2
도,2009,111.6
도,2009,123.9
도,2009,164.8
도,2009,160.2
전국,2009,250.2
수도권,2009,433.2
지방,2009,159.1
서울,2009,658.9
서울,2009,773.4
서울,2009,483.2
서울,2009,934.8
서울,2009,505.1
서울,2009,549.6
광역시,2009,195.4
광역시,2009,175.9
광역시,2009,279.4
광역시,2009,133.6
광역시,2009,194.0
광역시,2009,184.7
도,2009,324.0
도,2009,121.1
도,2009,133.5
